image,confidence,cx,cy,w,h
59.PNG,0.3699120581150055,0.29241288,0.18135594,0.39406943,0.23793581
175.PNG,0.37109947204589844,0.48522693,0.5124522,0.956296,0.7984881
22.PNG,0.371324360370636,0.46673727,0.43327254,0.21482043,0.24918278
148.PNG,0.37146466970443726,0.38873205,0.91682816,0.12892228,0.13371731
44.PNG,0.37179288268089294,0.3307494,0.6037137,0.22606029,0.28935808
13.PNG,0.37197449803352356,0.4809783,0.5043659,0.27455512,0.29755974
31.PNG,0.37202489376068115,0.49970955,0.4999473,0.9999072,0.9999844
218.png,0.3723028898239136,0.50032383,0.49996746,0.9996176,0.9999628
79.PNG,0.37295860052108765,0.19039617,0.27052805,0.3194297,0.40098318
39.PNG,0.3733691871166229,0.5006144,0.49787232,0.9959065,0.9898253
130.PNG,0.373701274394989,0.18916643,0.6724833,0.34744766,0.23286882
219.png,0.37480705976486206,0.8473667,0.92695516,0.10722793,0.1395735
121.PNG,0.3750026822090149,0.82762855,0.24513455,0.23868191,0.20714793
126.PNG,0.3753162920475006,0.24861585,0.36479038,0.12982833,0.104249015
26.PNG,0.37537410855293274,0.41448826,0.55682194,0.26003885,0.33002025
61.PNG,0.3755601942539215,0.38360196,0.56240064,0.20866252,0.35027012
218.png,0.3759918510913849,0.5267493,0.5002927,0.9445085,0.99993753
220.png,0.3760060966014862,0.68377423,0.38863295,0.25721708,0.50426364
3.PNG,0.3762025535106659,0.792368,0.46621525,0.4147921,0.522982
155.PNG,0.37686318159103394,0.58629286,0.4522538,0.6478167,0.8088178
287.png,0.3772965669631958,0.5000048,0.49990746,0.99799395,0.9999855
81.PNG,0.37733715772628784,0.61840534,0.71370786,0.31835088,0.14521462
82.PNG,0.3773869574069977,0.75478256,0.5845646,0.3236795,0.33095393
71.PNG,0.3773958384990692,0.33868694,0.5517778,0.36021894,0.34642693
123.PNG,0.37792399525642395,0.6588094,0.63885856,0.22949235,0.19052406
274.png,0.37851768732070923,0.5000937,0.5001105,0.99999887,0.99999934
149.PNG,0.37901753187179565,0.659282,0.6195475,0.1129066,0.15921175
125.PNG,0.37931638956069946,0.29739586,0.53651553,0.2458532,0.3760177
143.PNG,0.3794439435005188,0.7689824,0.5002184,0.46159276,0.9999727
145.PNG,0.3801012933254242,0.26181474,0.37125465,0.21705285,0.13948546
235.png,0.3802766501903534,0.4999574,0.49998716,0.9999987,0.9999996
238.png,0.38029512763023376,0.49999282,0.50005865,0.9999992,0.9999979
276.png,0.3803243041038513,0.49999982,0.5000334,0.9999974,0.99999845
219.png,0.3805677592754364,0.6164209,0.36241382,0.11835009,0.19200905
49.PNG,0.3808325231075287,0.29258078,0.25488898,0.5012395,0.38919374
30.PNG,0.3817112147808075,0.499688,0.733708,0.99635494,0.5327297
229.png,0.3829349875450134,0.5000966,0.50006694,0.9999995,0.99999934
145.PNG,0.383251816034317,0.47093013,0.89891756,0.24419776,0.13621913
173.PNG,0.38387033343315125,0.49991938,0.50017333,0.99999714,0.99998635
202.png,0.38434839248657227,0.50014025,0.5000476,0.9999963,0.9999958
24.PNG,0.38515546917915344,0.4295683,0.27518684,0.3424431,0.55053353
201.png,0.3853807747364044,0.27427545,0.07236481,0.09165773,0.1430436
256.png,0.3856269121170044,0.36286467,0.51469064,0.7255163,0.9716825
75.PNG,0.3856564462184906,0.3023196,0.25654984,0.3087683,0.21890317
217.png,0.3866431415081024,0.28490245,0.5046946,0.56438804,0.9870594
277.png,0.3871949017047882,0.4999948,0.50005484,0.9999982,0.9999996
207.png,0.38728776574134827,0.76897705,0.5050561,0.4570972,0.9857015
95.PNG,0.38735532760620117,0.25489047,0.29822877,0.50890803,0.59596795
105.PNG,0.38768285512924194,0.4999816,0.5002187,0.99999094,0.9999813
38.PNG,0.38820886611938477,0.5000382,0.50132203,0.99999803,0.9934212
233.png,0.3886706531047821,0.4999718,0.5000458,1.0,0.9999945
162.PNG,0.38925930857658386,0.49641332,0.8502926,0.19472824,0.14413178
228.png,0.38994741439819336,0.5000793,0.49992234,0.99999887,0.9999743
151.PNG,0.39059266448020935,0.18042381,0.23966183,0.17732862,0.21935561
268.png,0.39093419909477234,0.4998981,0.80698913,0.9999981,0.38566974
192.PNG,0.3928159177303314,0.393976,0.35576317,0.22509308,0.33721924
270.png,0.39307036995887756,0.5850772,0.44767508,0.8299866,0.89607346
156.PNG,0.3931710124015808,0.663689,0.85091436,0.1873382,0.21537335
188.PNG,0.39471274614334106,0.67011476,0.5480411,0.08002723,0.16230361
253.png,0.3947236239910126,0.49991918,0.5001121,0.9999879,0.9999968
106.PNG,0.3949491083621979,0.49995053,0.50013363,0.99998045,0.9999711
254.png,0.3952990472316742,0.3895036,0.6228191,0.778365,0.75365984
15.PNG,0.39541006088256836,0.5002214,0.49946436,0.9878086,0.98625433
102.PNG,0.3954595923423767,0.21158655,0.58715934,0.15873027,0.6984226
272.png,0.3966408967971802,0.5001003,0.4999957,0.99999964,0.99996626
281.png,0.39702633023262024,0.5000483,0.50016224,0.9999999,0.99999875
283.png,0.3970893621444702,0.4999402,0.8797261,0.9999995,0.16482544
220.png,0.3971788287162781,0.6837045,0.38805747,0.25644892,0.5014746
102.PNG,0.3983251750469208,0.24628529,0.50012213,0.45212412,0.9939582
245.png,0.3986817002296448,0.49993473,0.80582935,0.999992,0.38736722
13.PNG,0.3993397355079651,0.4808185,0.50324756,0.2735829,0.29621464
